カードID=01100410CA138C1D
利用年月日,定期,鉄道会社名,入場駅/事業者名,定期,鉄道会社名,出場駅/降車場所,利用額(円),残額(円),メモ
2018/03/20,,JR東,上野,,JR東,大崎,194,1103,
2018/03/20,,東武,五反野,,メトロ,上野,309,1297,
2018/03/19,,東武,五反野,,,,-1000,1606,現金ﾁｬｰｼﾞ
2018/03/19,,JR東,大崎,,東武,五反野,446,606,
2018/03/19,,JR東,大崎,,,,-1000,1052,現金ﾁｬｰｼﾞ
2018/03/19,,JR東,北千住,,JR東,大崎,302,52,
2018/03/19,,東武,五反野,,東武,北千住,144,354,
2018/03/18,,東武,栃木,,東武,五反野,885,498,
2018/03/18,,東武,栃木,,,,-1000,1383,現金ﾁｬｰｼﾞ
2018/03/16,,東武,五反野,,東武,栃木,885,383,
2018/03/16,,メトロ,秋葉原,,東武,五反野,339,1268,
2018/03/16,,JR東,大崎,,JR東,秋葉原,194,1607,
2018/03/16,,JR東,北千住,,JR東,大崎,302,1801,
2018/03/16,,東武,五反野,,東武,北千住,144,2103,
2018/03/16,,東武,五反野,,,,-1000,2247,現金ﾁｬｰｼﾞ
2018/03/15,,TX,青井,,,,-1000,1247,現金ﾁｬｰｼﾞ
2018/03/15,,TX,秋葉原,,TX,青井,329,247,
2018/03/15,,JR東,大崎,,JR東,秋葉原,194,576,
2018/03/15,,JR東,秋葉原,,JR東,大崎,194,770,
2018/03/15,,東武,五反野,,メトロ,秋葉原,339,964,
2018/03/14,,東武,五反野,,,,-1000,1303,現金ﾁｬｰｼﾞ
2018/03/14,,東武,北千住,,東武,五反野,144,303,
2018/03/14,,JR東,大崎,,JR東,北千住,302,447,
2018/03/14,,JR東,北千住,,JR東,大崎,302,749,
2018/03/14,,東武,五反野,,東武,北千住,144,1051,
2018/03/13,,東武,五反野,,,,-1000,1195,現金ﾁｬｰｼﾞ
2018/03/13,,東武,北千住,,東武,五反野,144,195,
2018/03/13,,JR東,大崎,,JR東,北千住,302,339,
2018/03/13,,JR東,北千住,,JR東,大崎,302,641,
2018/03/13,,東武,五反野,,東武,北千住,144,943,
2018/03/12,,東武,五反野,,,,-1000,1087,現金ﾁｬｰｼﾞ
2018/03/12,,メトロ,南千住,,東武,五反野,289,87,
2018/03/12,,JR東,大崎,,JR東,南千住,302,376,
2018/03/12,,JR東,北千住,,JR東,大崎,302,678,
2018/03/12,,東武,五反野,,東武,北千住,144,980,
2018/03/12,,東武,五反野,,,,-1000,1124,現金ﾁｬｰｼﾞ
2018/03/11,,東武,栃木,,東武,五反野,885,124,
2018/03/11,,東武,栃木,,,,-1000,1009,現金ﾁｬｰｼﾞ
2018/03/09,,東武,五反野,,東武,栃木,885,9,
2018/03/09,,東武,栃木,,,,-160,894,現金ﾁｬｰｼﾞ
2018/03/09,,東武,北千住,,東武,五反野,144,734,
2018/03/09,,JR東,大崎,,JR東,北千住,302,878,
2018/03/09,,JR東,北千住,,,,-1000,1180,現金ﾁｬｰｼﾞ
2018/03/09,,JR東,北千住,,JR東,大崎,302,180,
2018/03/09,,東武,五反野,,東武,北千住,144,482,
2018/03/08,,東武,北千住,,東武,五反野,144,626,
2018/03/08,,JR東,大崎,,JR東,北千住,302,770,
2018/03/08,,JR東,大崎,,,,-1000,1072,現金ﾁｬｰｼﾞ
2018/03/08,,JR東,北千住,,JR東,大崎,302,72,
2018/03/08,,東武,五反野,,東武,北千住,144,374,
2018/03/07,,TX,秋葉原,,TX,青井,329,518,
2018/03/07,,JR東,大井町,,JR東,秋葉原,216,847,
2018/03/07,,臨海,東京テレポ－ト,,臨海,大井町,267,1063,
2018/03/07,,臨海,大崎,,臨海,東京テレポ－ト,329,1330,
2018/03/07,,JR東,大崎,,,,-1000,1659,現金ﾁｬｰｼﾞ
2018/03/07,,JR東,北千住,,JR東,大崎,302,659,
2018/03/07,,東武,五反野,,東武,北千住,144,961,
2018/03/06,,TX,南千住,,TX,青井,206,1105,
2018/03/06,,TX,南千住,,,,-1000,1311,現金ﾁｬｰｼﾞ
2018/03/06,,JR東,大崎,,JR東,南千住,302,311,
2018/03/06,,JR東,北千住,,JR東,大崎,302,613,
2018/03/06,,東武,五反野,,東武,北千住,144,915,
2018/03/05,,東武,北千住,,東武,五反野,144,1059,
2018/03/05,,JR東,大崎,,JR東,北千住,302,1203,
2018/03/05,,JR東,北千住,,JR東,大崎,302,1505,
2018/03/05,,東武,五反野,,東武,北千住,144,1807,
2018/03/04,,東武,五反野,,,,-1000,1951,現金ﾁｬｰｼﾞ
2018/03/04,,東武,栃木,,東武,五反野,885,951,
2018/03/04,,東武,栃木,,,,-1000,1836,現金ﾁｬｰｼﾞ
2018/03/02,,東武,五反野,,東武,栃木,885,836,
2018/03/02,,東武,栃木,,,,-1000,1721,現金ﾁｬｰｼﾞ
2018/03/02,,JR東,大崎,,東武,五反野,446,721,
2018/03/02,,JR東,北千住,,JR東,大崎,302,1167,
2018/03/02,,東武,五反野,,東武,北千住,144,1469,
2018/03/01,,JR東,大崎,,東武,五反野,446,1613,
2018/03/01,,JR東,大崎,,,,-2000,2059,現金ﾁｬｰｼﾞ
2018/03/01,,JR東,北千住,,JR東,大崎,302,59,
